"Figure 1. Trends in April Snowpack in the Western United States, 1955-2022",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: USDA Natural Resources Conservation Service, 2022",,,
Web update: July 2022,,,
Units: degrees; degrees; percent change,,,
,,,
State,Latitude,Longitude,Trend (%)
UT,40.86493,-110.79813,-19.4475587
UT,37.51255,-113.39661,-61.57711784
UT,39.68338,-111.31818,-21.41059894
UT,37.56933,-112.83849,-0.290146101
UT,40.633,-111.633,-30.67629782
UT,41.46547,-111.49688,-21.62290434
UT,40.60798,-109.8881,10.33538738
UT,39.13667,-111.50542,-13.78507227
UT,40.76184,-111.62917,-27.93143197
UT,39.92976,-111.63109,-49.94170448
UT,38.88185,-112.24915,-17.60160672
UT,39.45197,-111.27221,-36.37116603
UT,40.6745,-111.21798,-23.46218972
UT,40.54875,-110.69292,-6.314983309
UT,40.44293,-112.22377,-19.58460162
UT,39.31042,-111.43297,-28.48430556
UT,40.78931,-111.09192,-22.61892557
UT,40.16483,-111.20665,-36.97791516
UT,40.42817,-111.61633,-29.93060503
UT,41.89833,-111.62957,-18.98734965
UT,41.88467,-111.56882,-23.28418697
UT,40.67933,-110.94877,-17.96916775
UT,40.678,-110.94873,-20.05015997
UT,37.575,-112.90155,-28.29652518
UT,39.9645,-110.98845,-26.21344375
UT,37.74797,-112.77495,-13.51694096
WA,48.81822,-121.19144,-8.395840544
WA,48.87926,-121.25529,-28.71974686
WA,47.35037,-120.6796,-46.74513333
WA,48.19273,-117.43277,-31.03060291
WA,47.3166,-121.5166,-72.53915346
WA,47.01872,-121.46464,-8.384280734
WA,47.94842,-123.25858,-44.60760679
WA,48.74869,-120.86084,-13.95030766
WA,47.53565,-121.08553,-33.33733685
WA,47.53469,-121.08592,-21.41503213
WA,48.94862,-120.9328,-31.1088225
WA,46.54741,-121.17093,15.18043309
WA,48.72047,-120.6586,-18.8814513
WA,48.72138,-120.66135,-16.73409893
WA,47.97078,-123.49987,-57.52024093
WA,48.19798,-120.91678,-17.74082039
WA,48.57815,-121.0251,-73.84320513
WA,48.68125,-119.87224,-6.309978377
WA,47.37406,-121.44213,-25.57043251
WA,46.78265,-121.74765,-12.74100814
WA,48.44488,-120.91551,-12.48649263
WA,48.51865,-120.7358,-25.57765182
WA,48.51729,-120.73517,-19.33472443
WA,48.53439,-119.86241,-55.09224081
WA,48.65518,-119.8383,-35.59899864
WA,47.27427,-121.34162,-32.37892653
WA,48.524,-120.989,-26.13732963
WA,47.32004,-121.33869,-46.19890433
WY,41.18333,-106.16667,-27.24351196
WY,44.26778,-110.62612,-26.1434934
WY,43.94019,-110.44544,-4.818233858
WY,43.94583,-110.44677,-14.2515445
WY,42.35967,-110.7687,-24.27090865
WY,42.964,-110.60973,-28.06096847
WY,42.64694,-108.86889,-20.29122921
WY,41.35885,-106.23209,-19.50401413
WY,44.78765,-107.52917,-13.078297
WY,43.69733,-109.67021,-1.464287524
WY,44.71961,-110.51084,-9.553549428
WY,42.52388,-110.88305,-10.26826357
WY,43.27676,-109.44585,-34.94310607
WY,43.575,-109.80139,-29.92563993
WY,43.13097,-110.2023,-33.69564286
WY,43.82028,-110.26862,-24.43135812
WY,41.08333,-106.16667,-12.58604998
WY,43.54056,-109.74722,-33.26537935
WY,44.09988,-110.73683,-8.332296372
WY,43.34298,-110.43495,-15.54662635
WY,42.56083,-108.82972,-28.78734476
WY,44.12612,-110.83435,-21.87299841
WY,44.12612,-110.83435,-21.8583659
WY,43.38939,-110.12943,-30.41792399
WY,42.80833,-110.89528,-39.73824179
WY,41.33333,-106.2,-25.47251505
WY,44.25602,-106.97983,1.425521727
WY,42.86984,-109.09455,-5.606694561
WY,44.04572,-110.6895,-21.88907477
WY,42.30023,-110.67753,-25.90155703
WY,43.2493,-110.01662,-27.0336623
WY,44.55,-110.4,6.096596365
WY,42.58612,-109.08583,-7.098126221
WY,44.20862,-110.66628,-17.93329657
WY,44.20862,-110.66628,-22.14340313
WY,41.31667,-106.18333,-8.300925456
WY,43.50278,-109.752,-9.562755241
WY,43.17387,-110.14007,-18.70006269
WY,44.91667,-110.61667,-46.71277199
WY,43.85722,-110.58445,-22.15756491
WY,44.75,-110.7,-37.65002705
WY,41.31667,-106.43333,-9.888208677
WY,41.15397,-106.96937,-12.9040759
WY,43.65868,-109.00988,-11.98799881
WY,41.25,-105.41667,38.88704675
WY,44.53778,-107.50111,-20.20582428
WY,41.31667,-106.5,-21.11800572
WY,42.5075,-110.9099,-15.49341923
WY,43.63083,-109.9225,-20.28317284
WY,44.13361,-110.66917,-22.85411904
WY,44.13352,-110.669,-23.95855497
WY,42.4949,-110.53203,-20.18643718
WY,44.34847,-107.0136,-31.84218842
WY,44.21194,-106.99722,-19.09309321
WY,41.32943,-106.50248,-26.50107622
WY,42.57317,-108.84325,-12.21714736
WY,42.52516,-110.66148,-23.3258668
WY,44.47825,-110.03808,-24.987642
WY,43.71417,-109.63667,-15.0131405
WY,44.36888,-110.57825,-46.9436542
WY,44.36917,-110.57717,-37.0153403
WY,43.74902,-110.0578,-10.06743966
WY,43.74902,-110.0578,-16.90742997
WY,43.85805,-110.27667,-13.10755038
WY,44.15178,-110.22122,22.6299756
WY,44.18333,-107.25,-31.65329053
